product_key,Category,Category_Group,Unit_Price,price_tier
1,office_furniture,Other,149.99,High
2,housewares,Home & Living,339.0,High
3,construction_tools_construction,Other,329.9,High
4,musical_instruments,Other,59.9,Medium
5,computers_accessories,Electronics,80.9,Medium
6,luggage_accessories,Other,259.9,High
7,stationery,Other,39.0,Medium
8,auto,Auto & Industrial,98.7,Medium
9,health_beauty,Health & Beauty,66.99,Medium
10,books_general_interest,Books & Media,27.9,Medium
11,watches_gifts,Fashion & Accessories,204.0,High
12,computers_accessories,Electronics,175.0,High
13,sports_leisure,Sports & Leisure,109.9,High
14,electronics,Electronics,59.9,Medium
15,watches_gifts,Fashion & Accessories,69.0,Medium
16,toys,Toys & Games,94.9,Medium
17,sports_leisure,Sports & Leisure,73.9,Medium
18,watches_gifts,Fashion & Accessories,29.0,Medium
19,garden_tools,Home & Living,89.0,Medium
20,telephony,Electronics,27.9,Medium
21,sports_leisure,Sports & Leisure,189.0,High
22,computers_accessories,Electronics,22.0,Medium
23,small_appliances,Other,179.9,High
24,electronics,Electronics,25.9,Medium
25,toys,Toys & Games,219.99,High
26,housewares,Home & Living,22.9,Medium
27,industry_commerce_and_business,Other,55.0,Medium
28,telephony,Electronics,14.0,Low
29,bed_bath_table,Home & Living,115.0,High
30,furniture_decor,Home & Living,150.0,High
31,construction_tools_lights,Other,159.0,High
32,baby,Other,110.0,High
33,fashion_bags_accessories,Fashion & Accessories,97.0,Medium
34,sports_leisure,Sports & Leisure,143.99,High
35,computers_accessories,Electronics,89.49,Medium
36,health_beauty,Health & Beauty,149.99,High
37,office_furniture,Other,114.94,High
38,computers_accessories,Electronics,99.99,Medium
39,auto,Auto & Industrial,39.9,Medium
40,electronics,Electronics,11.5,Low
41,stationery,Other,69.9,Medium
42,Kitchen Appliances,Food & Drink,102.9,High
43,health_beauty,Health & Beauty,125.02,High
44,health_beauty,Health & Beauty,208.5,High
45,stationery,Other,66.0,Medium
46,computers_accessories,Electronics,19.99,Low
47,housewares,Home & Living,6.0,Low
48,housewares,Home & Living,5.99,Low
49,computers_accessories,Electronics,59.0,Medium
50,housewares,Home & Living,39.99,Medium
51,health_beauty,Health & Beauty,189.9,High
52,housewares,Home & Living,880.0,High
53,bed_bath_table,Home & Living,70.0,Medium
54,toys,Toys & Games,294.99,High
55,housewares,Home & Living,82.9,Medium
56,computers_accessories,Electronics,24.99,Medium
57,flowers,Other,49.9,Medium
58,home_appliances_2,Other,159.0,High
59,furniture_decor,Home & Living,219.0,High
60,sports_leisure,Sports & Leisure,15.9,Low
61,computers_accessories,Electronics,123.89,High
62,stationery,Other,169.0,High
63,bed_bath_table,Home & Living,69.0,Medium
64,perfumery,Other,167.92,High
65,bed_bath_table,Home & Living,99.0,Medium
66,bed_bath_table,Home & Living,64.0,Medium
67,computers_accessories,Electronics,337.18,High
68,watches_gifts,Fashion & Accessories,99.0,Medium
69,consoles_games,Electronics,34.9,Medium
70,computers_accessories,Electronics,150.9,High
71,auto,Auto & Industrial,119.9,High
72,bed_bath_table,Home & Living,83.99,Medium
73,sports_leisure,Sports & Leisure,98.99,Medium
74,health_beauty,Health & Beauty,349.9,High
75,perfumery,Other,66.0,Medium
76,computers_accessories,Electronics,118.0,High
77,toys,Toys & Games,114.9,High
78,baby,Other,68.9,Medium
79,auto,Auto & Industrial,44.0,Medium
80,stationery,Other,48.9,Medium
81,stationery,Other,88.9,Medium
82,cool_stuff,Other,238.0,High
83,sports_leisure,Sports & Leisure,658.9,High
84,furniture_decor,Home & Living,117.445,High
85,sports_leisure,Sports & Leisure,44.9,Medium
86,health_beauty,Health & Beauty,30.0,Medium
87,sports_leisure,Sports & Leisure,168.0,High
88,kitchen_dining_laundry_garden_furniture,Other,29.9,Medium
89,housewares,Home & Living,34.9,Medium
90,bed_bath_table,Home & Living,56.0,Medium
91,health_beauty,Health & Beauty,139.9,High
92,bed_bath_table,Home & Living,35.0,Medium
93,electronics,Electronics,22.35,Medium
94,telephony,Electronics,15.9,Low
95,cool_stuff,Other,18.99,Low
96,housewares,Home & Living,54.16,Medium
97,cool_stuff,Other,49.9,Medium
98,home_confort,Other,89.9,Medium
99,electronics,Electronics,9.0,Low
100,sports_leisure,Sports & Leisure,411.0,High
101,housewares,Home & Living,138.0,High
102,furniture_living_room,Other,99.0,Medium
103,home_construction,Other,459.99,High
104,furniture_decor,Home & Living,520.2,High
105,perfumery,Other,69.9,Medium
106,auto,Auto & Industrial,71.0,Medium
107,perfumery,Other,169.0,High
108,cool_stuff,Other,25.0,Medium
109,telephony,Electronics,44.9,Medium
110,sports_leisure,Sports & Leisure,170.3,High
111,cool_stuff,Other,82.99,Medium
112,garden_tools,Home & Living,229.0,High
113,cool_stuff,Other,209.99,High
114,computers_accessories,Electronics,550.99,High
115,sports_leisure,Sports & Leisure,89.9,Medium
116,furniture_decor,Home & Living,105.0,High
117,computers,Other,2999.99,High
118,health_beauty,Health & Beauty,72.9,Medium
119,pet_shop,Other,59.0,Medium
120,health_beauty,Health & Beauty,129.49,High
121,office_furniture,Other,101.99,High
122,computers_accessories,Electronics,158.9,High
123,furniture_decor,Home & Living,199.94,High
124,small_appliances,Other,10.0,Low
125,consoles_games,Electronics,128.26,High
126,housewares,Home & Living,22.5,Medium
127,housewares,Home & Living,140.0,High
128,furniture_decor,Home & Living,199.0,High
129,stationery,Other,29.3,Medium
130,health_beauty,Health & Beauty,60.0,Medium
131,home_confort,Other,44.9,Medium
132,pet_shop,Other,134.9,High
133,art,Other,69.99,Medium
134,perfumery,Other,70.9,Medium
135,baby,Other,213.0,High
136,baby,Other,39.99,Medium
137,home_construction,Other,59.8,Medium
138,toys,Toys & Games,154.9,High
139,health_beauty,Health & Beauty,54.0,Medium
140,watches_gifts,Fashion & Accessories,669.99,High
141,construction_tools_construction,Other,38.9,Medium
142,furniture_living_room,Other,103.97,High
143,baby,Other,249.0,High
144,perfumery,Other,179.1,High
145,small_appliances,Other,109.0,High
146,home_construction,Other,112.9,High
147,watches_gifts,Fashion & Accessories,35.0,Medium
148,musical_instruments,Other,47.445,Medium
149,agro_industry_and_commerce,Other,412.0,High
150,home_construction,Other,129.95,High
151,telephony,Electronics,189.0,High
152,computers_accessories,Electronics,499.0,High
153,perfumery,Other,229.9,High
154,bed_bath_table,Home & Living,147.0,High
155,furniture_decor,Home & Living,37.5,Medium
156,health_beauty,Health & Beauty,86.0,Medium
157,perfumery,Other,39.0,Medium
158,fashion_bags_accessories,Fashion & Accessories,129.99,High
159,sports_leisure,Sports & Leisure,91.0,Medium
160,furniture_decor,Home & Living,275.31,High
161,sports_leisure,Sports & Leisure,39.6,Medium
162,sports_leisure,Sports & Leisure,1635.0,High
163,baby,Other,86.9,Medium
164,watches_gifts,Fashion & Accessories,115.0,High
165,furniture_decor,Home & Living,199.9,High
166,furniture_decor,Home & Living,14.33,Low
167,cool_stuff,Other,156.0,High
168,construction_tools_construction,Other,80.42857142857143,Medium
169,watches_gifts,Fashion & Accessories,199.8,High
170,baby,Other,109.99,High
171,cool_stuff,Other,399.0,High
172,auto,Auto & Industrial,18.5,Low
173,small_appliances,Other,163.9,High
174,toys,Toys & Games,99.99,Medium
175,computers_accessories,Electronics,125.0,High
176,health_beauty,Health & Beauty,43.9,Medium
177,fashion_bags_accessories,Fashion & Accessories,29.9,Medium
178,furniture_decor,Home & Living,54.9,Medium
179,health_beauty,Health & Beauty,51.89,Medium
180,stationery,Other,289.0,High
181,pet_shop,Other,130.99,High
182,auto,Auto & Industrial,49.9,Medium
183,bed_bath_table,Home & Living,29.0,Medium
184,pet_shop,Other,24.99,Medium
185,cool_stuff,Other,119.9,High
186,housewares,Home & Living,28.14,Medium
187,toys,Toys & Games,759.9,High
188,watches_gifts,Fashion & Accessories,179.89,High
189,pet_shop,Other,68.5,Medium
190,home_appliances,Other,699.0,High
191,health_beauty,Health & Beauty,16.0,Low
192,health_beauty,Health & Beauty,31.9,Medium
193,housewares,Home & Living,71.1,Medium
194,pet_shop,Other,94.9,Medium
195,stationery,Other,49.0,Medium
196,cool_stuff,Other,95.4,Medium
197,housewares,Home & Living,118.99,High
198,fashion_bags_accessories,Fashion & Accessories,32.445,Medium
199,christmas_supplies,Other,31.62,Medium
200,christmas_supplies,Other,6.27,Low
201,auto,Auto & Industrial,62.0,Medium
202,home_appliances,Other,34.72,Medium
203,telephony,Electronics,989.0,High
204,industry_commerce_and_business,Other,199.0,High
205,computers_accessories,Electronics,100.0,Medium
206,sports_leisure,Sports & Leisure,139.0,High
207,baby,Other,136.76,High
208,consoles_games,Electronics,689.89,High
209,cool_stuff,Other,199.99,High
210,housewares,Home & Living,68.9,Medium
211,fashion_bags_accessories,Fashion & Accessories,24.5,Medium
212,pet_shop,Other,24.0,Medium
213,market_place,Other,31.92,Medium
214,health_beauty,Health & Beauty,27.0,Medium
215,home_construction,Other,65.0,Medium
216,housewares,Home & Living,16.9,Low
217,auto,Auto & Industrial,129.2,High
218,cool_stuff,Other,69.68,Medium
219,watches_gifts,Fashion & Accessories,56.0,Medium
220,costruction_tools_tools,Other,29.9,Medium
221,pet_shop,Other,100.0,Medium
222,toys,Toys & Games,309.0,High
223,furniture_decor,Home & Living,95.0,Medium
224,furniture_decor,Home & Living,185.0,High
225,baby,Other,178.9,High
226,auto,Auto & Industrial,13.0,Low
227,watches_gifts,Fashion & Accessories,738.0,High
228,computers_accessories,Electronics,96.0,Medium
229,construction_tools_lights,Other,166.995,High
230,pet_shop,Other,99.99,Medium
231,computers_accessories,Electronics,180.9,High
232,home_confort,Other,14.0,Low
233,stationery,Other,64.9,Medium
234,baby,Other,38.97,Medium
235,health_beauty,Health & Beauty,59.89,Medium
236,furniture_decor,Home & Living,32.0,Medium
237,computers_accessories,Electronics,49.5,Medium
238,housewares,Home & Living,119.0,High
239,toys,Toys & Games,37.0,Medium
240,health_beauty,Health & Beauty,169.9,High
241,watches_gifts,Fashion & Accessories,115.9,High
242,bed_bath_table,Home & Living,60.5,Medium
243,pet_shop,Other,132.97,High
244,auto,Auto & Industrial,399.0,High
245,fashion_bags_accessories,Fashion & Accessories,12.0,Low
246,auto,Auto & Industrial,649.0,High
247,cool_stuff,Other,97.9,Medium
248,toys,Toys & Games,59.0,Medium
249,auto,Auto & Industrial,45.49,Medium
250,construction_tools_construction,Other,80.0,Medium
251,watches_gifts,Fashion & Accessories,134.85000000000002,High
252,perfumery,Other,234.0,High
253,consoles_games,Electronics,779.0,High
254,housewares,Home & Living,92.9,Medium
255,Uncategorized,Other,59.99,Medium
256,pet_shop,Other,38.7,Medium
257,furniture_living_room,Other,179.99,High
258,garden_tools,Home & Living,224.9,High
259,home_construction,Other,79.9,Medium
260,telephony,Electronics,259.99,High
261,construction_tools_construction,Other,346.0,High
262,auto,Auto & Industrial,85.5,Medium
263,agro_industry_and_commerce,Other,465.0,High
264,health_beauty,Health & Beauty,485.9,High
265,computers_accessories,Electronics,132.9,High
266,housewares,Home & Living,45.99,Medium
267,furniture_decor,Home & Living,78.8,Medium
268,perfumery,Other,268.38,High
269,housewares,Home & Living,34.8,Medium
270,perfumery,Other,123.62,High
271,food,Other,59.9,Medium
272,Kitchen Appliances,Food & Drink,17.42,Low
273,pet_shop,Other,19.99,Low
274,health_beauty,Health & Beauty,299.99,High
275,fashio_female_clothing,Other,19.9,Low
276,musical_instruments,Other,479.9,High
277,home_appliances_2,Other,254.9,High
278,housewares,Home & Living,37.4,Medium
279,watches_gifts,Fashion & Accessories,570.0,High
280,computers_accessories,Electronics,134.9,High
281,furniture_decor,Home & Living,12.9,Low
282,baby,Other,339.0,High
283,bed_bath_table,Home & Living,107.5,High
284,stationery,Other,66.5,Medium
285,fixed_telephony,Other,109.9,High
286,home_appliances,Other,37.1,Medium
287,consoles_games,Electronics,36.2,Medium
288,sports_leisure,Sports & Leisure,29.49,Medium
289,housewares,Home & Living,50.9,Medium
290,agro_industry_and_commerce,Other,229.0,High
291,furniture_decor,Home & Living,59.989999999999995,Medium
292,telephony,Electronics,49.400000000000006,Medium
293,sports_leisure,Sports & Leisure,139.8,High
294,stationery,Other,215.97,High
295,health_beauty,Health & Beauty,339.99,High
296,Uncategorized,Other,102.9,High
297,watches_gifts,Fashion & Accessories,314.9,High
298,toys,Toys & Games,134.9,High
299,watches_gifts,Fashion & Accessories,179.99,High
300,small_appliances,Other,90.3,Medium
301,telephony,Electronics,24.77,Medium
302,stationery,Other,8.7,Low
303,housewares,Home & Living,74.99,Medium
304,housewares,Home & Living,55.9,Medium
305,construction_tools_construction,Other,79.0,Medium
306,industry_commerce_and_business,Other,150.0,High
307,home_construction,Other,32.99,Medium
308,office_furniture,Other,349.9,High
309,christmas_supplies,Other,6.19,Low
310,health_beauty,Health & Beauty,364.0,High
311,watches_gifts,Fashion & Accessories,279.0,High
312,housewares,Home & Living,260.0,High
313,garden_tools,Home & Living,73.56,Medium
314,kitchen_dining_laundry_garden_furniture,Other,58.9,Medium
315,Uncategorized,Other,14.8,Low
316,office_furniture,Other,176.96,High
317,furniture_bedroom,Other,89.99,Medium
318,pet_shop,Other,22.0,Medium
319,health_beauty,Health & Beauty,76.9,Medium
320,cool_stuff,Other,39.9,Medium
321,pet_shop,Other,21.9,Medium
322,watches_gifts,Fashion & Accessories,689.99,High
323,toys,Toys & Games,50.7,Medium
324,sports_leisure,Sports & Leisure,296.89,High
325,health_beauty,Health & Beauty,159.0,High
326,auto,Auto & Industrial,82.99,Medium
327,auto,Auto & Industrial,25.0,Medium
328,cool_stuff,Other,849.0,High
329,cool_stuff,Other,132.08,High
330,auto,Auto & Industrial,26.0,Medium
331,baby,Other,119.99,High
332,musical_instruments,Other,4399.87,High
333,telephony,Electronics,20.99,Medium
334,toys,Toys & Games,28.69,Medium
335,perfumery,Other,44.99,Medium
336,pet_shop,Other,125.0,High
337,furniture_decor,Home & Living,284.9,High
338,books_general_interest,Books & Media,44.9,Medium
339,furniture_decor,Home & Living,129.34,High
340,books_technical,Books & Media,88.5,Medium
341,health_beauty,Health & Beauty,52.0,Medium
342,Uncategorized,Other,41.3,Medium
343,bed_bath_table,Home & Living,231.8,High
344,sports_leisure,Sports & Leisure,259.99,High
345,luggage_accessories,Other,45.6,Medium
346,fixed_telephony,Other,139.0,High
347,housewares,Home & Living,368.9,High
348,auto,Auto & Industrial,345.0,High
349,watches_gifts,Fashion & Accessories,59.6,Medium
350,perfumery,Other,360.0,High
351,electronics,Electronics,76.0,Medium
352,health_beauty,Health & Beauty,130.0,High
353,auto,Auto & Industrial,93.9,Medium
354,sports_leisure,Sports & Leisure,68.0,Medium
355,Uncategorized,Other,19.9,Low
356,furniture_decor,Home & Living,197.8,High
357,health_beauty,Health & Beauty,84.0,Medium
358,agro_industry_and_commerce,Other,59.99,Medium
359,auto,Auto & Industrial,34.0,Medium
360,perfumery,Other,81.9,Medium
361,cine_photo,Other,119.0,High
362,pet_shop,Other,148.0,High
363,furniture_decor,Home & Living,319.9,High
364,fashion_bags_accessories,Fashion & Accessories,42.15,Medium
365,computers_accessories,Electronics,170.70499999999998,High
366,watches_gifts,Fashion & Accessories,698.0,High
367,musical_instruments,Other,46.9,Medium
368,toys,Toys & Games,78.75,Medium
369,garden_tools,Home & Living,135.0,High
370,auto,Auto & Industrial,199.99,High
371,Uncategorized,Other,18.49,Low
372,health_beauty,Health & Beauty,25.26,Medium
373,home_construction,Other,58.59,Medium
374,signaling_and_security,Other,34.9,Medium
375,bed_bath_table,Home & Living,22.4,Medium
376,auto,Auto & Industrial,128.15,High
377,sports_leisure,Sports & Leisure,133.0,High
378,toys,Toys & Games,38.98,Medium
379,Uncategorized,Other,108.0,High
380,office_furniture,Other,259.98,High
381,perfumery,Other,8.99,Low
382,sports_leisure,Sports & Leisure,28.899999999999995,Medium
383,health_beauty,Health & Beauty,376.0,High
384,health_beauty,Health & Beauty,395.65,High
385,health_beauty,Health & Beauty,149.0,High
386,arts_and_craftmanship,Other,11.350000000000001,Low
387,sports_leisure,Sports & Leisure,20.99,Medium
388,furniture_decor,Home & Living,55.0,Medium
389,sports_leisure,Sports & Leisure,24.53,Medium
390,bed_bath_table,Home & Living,40.99,Medium
391,telephony,Electronics,89.9,Medium
392,perfumery,Other,223.51,High
393,Uncategorized,Other,89.0,Medium
394,luggage_accessories,Other,97.0,Medium
395,computers_accessories,Electronics,126.425,High
396,sports_leisure,Sports & Leisure,296.0,High
397,electronics,Electronics,24.89,Medium
398,home_construction,Other,241.0,High
399,furniture_decor,Home & Living,17.99,Low
400,housewares,Home & Living,12.84,Low
401,cool_stuff,Other,460.0,High
402,sports_leisure,Sports & Leisure,229.5,High
