date_key,full_date,year,month,quarter,week,day_name,is_weekend
20180724,2018-07-24,2018,7,3,30,Tuesday,false
20170713,2017-07-13,2017,7,3,28,Thursday,false
20180301,2018-03-01,2018,3,1,9,Thursday,false
20180809,2018-08-09,2018,8,3,32,Thursday,false
20180626,2018-06-26,2018,6,2,26,Tuesday,false
20180726,2018-07-26,2018,7,3,30,Thursday,false
20180611,2018-06-11,2018,6,2,24,Monday,false
20171220,2017-12-20,2017,12,4,51,Wednesday,false
20180516,2018-05-16,2018,5,2,20,Wednesday,false
20180624,2018-06-24,2018,6,2,25,Sunday,true
20180530,2018-05-30,2018,5,2,22,Wednesday,false
20170705,2017-07-05,2017,7,3,27,Wednesday,false
20180409,2018-04-09,2018,4,2,15,Monday,false
20170912,2017-09-12,2017,9,3,37,Tuesday,false
20170520,2017-05-20,2017,5,2,20,Saturday,true
20170419,2017-04-19,2017,4,2,16,Wednesday,false
20170817,2017-08-17,2017,8,3,33,Thursday,false
20180816,2018-08-16,2018,8,3,33,Thursday,false
20171125,2017-11-25,2017,11,4,47,Saturday,true
20180704,2018-07-04,2018,7,3,27,Wednesday,false
20180512,2018-05-12,2018,5,2,19,Saturday,true
20170304,2017-03-04,2017,3,1,9,Saturday,true
20180424,2018-04-24,2018,4,2,17,Tuesday,false
20171028,2017-10-28,2017,10,4,43,Saturday,true
20170502,2017-05-02,2017,5,2,18,Tuesday,false
20180428,2018-04-28,2018,4,2,17,Saturday,true
20180621,2018-06-21,2018,6,2,25,Thursday,false
20170610,2017-06-10,2017,6,2,23,Saturday,true
20170301,2017-03-01,2017,3,1,9,Wednesday,false
20170815,2017-08-15,2017,8,3,33,Tuesday,false
20171110,2017-11-10,2017,11,4,45,Friday,false
20180823,2018-08-23,2018,8,3,34,Thursday,false
20170409,2017-04-09,2017,4,2,14,Sunday,true
20170928,2017-09-28,2017,9,3,39,Thursday,false
20170725,2017-07-25,2017,7,3,30,Tuesday,false
20171213,2017-12-13,2017,12,4,50,Wednesday,false
20170530,2017-05-30,2017,5,2,22,Tuesday,false
20170317,2017-03-17,2017,3,1,11,Friday,false
20171118,2017-11-18,2017,11,4,46,Saturday,true
20180220,2018-02-20,2018,2,1,8,Tuesday,false
20180217,2018-02-17,2018,2,1,7,Saturday,true
20170519,2017-05-19,2017,5,2,20,Friday,false
20171124,2017-11-24,2017,11,4,47,Friday,false
20180618,2018-06-18,2018,6,2,25,Monday,false
20170220,2017-02-20,2017,2,1,8,Monday,false
20170826,2017-08-26,2017,8,3,34,Saturday,true
20170919,2017-09-19,2017,9,3,38,Tuesday,false
20180109,2018-01-09,2018,1,1,2,Tuesday,false
20171127,2017-11-27,2017,11,4,48,Monday,false
20170708,2017-07-08,2017,7,3,27,Saturday,true
20171217,2017-12-17,2017,12,4,50,Sunday,true
20180410,2018-04-10,2018,4,2,15,Tuesday,false
20171111,2017-11-11,2017,11,4,45,Saturday,true
20180112,2018-01-12,2018,1,1,2,Friday,false
20170523,2017-05-23,2017,5,2,21,Tuesday,false
20171205,2017-12-05,2017,12,4,49,Tuesday,false
20180209,2018-02-09,2018,2,1,6,Friday,false
20170529,2017-05-29,2017,5,2,22,Monday,false
20170602,2017-06-02,2017,6,2,22,Friday,false
20180812,2018-08-12,2018,8,3,32,Sunday,true
20180316,2018-03-16,2018,3,1,11,Friday,false
20170403,2017-04-03,2017,4,2,14,Monday,false
20180117,2018-01-17,2018,1,1,3,Wednesday,false
20171102,2017-11-02,2017,11,4,44,Thursday,false
20170903,2017-09-03,2017,9,3,35,Sunday,true
20180224,2018-02-24,2018,2,1,8,Saturday,true
20170704,2017-07-04,2017,7,3,27,Tuesday,false
20171210,2017-12-10,2017,12,4,49,Sunday,true
20180419,2018-04-19,2018,4,2,16,Thursday,false
20170921,2017-09-21,2017,9,3,38,Thursday,false
20170225,2017-02-25,2017,2,1,8,Saturday,true
20180223,2018-02-23,2018,2,1,8,Friday,false
20180716,2018-07-16,2018,7,3,29,Monday,false
20170624,2017-06-24,2017,6,2,25,Saturday,true
20170824,2017-08-24,2017,8,3,34,Thursday,false
20180311,2018-03-11,2018,3,1,10,Sunday,true
20180325,2018-03-25,2018,3,1,12,Sunday,true
20171020,2017-10-20,2017,10,4,42,Friday,false
20180602,2018-06-02,2018,6,2,22,Saturday,true
20170721,2017-07-21,2017,7,3,29,Friday,false
20170614,2017-06-14,2017,6,2,24,Wednesday,false
20170923,2017-09-23,2017,9,3,38,Saturday,true
20170612,2017-06-12,2017,6,2,24,Monday,false
20170216,2017-02-16,2017,2,1,7,Thursday,false
20170112,2017-01-12,2017,1,1,2,Thursday,false
20171003,2017-10-03,2017,10,4,40,Tuesday,false
20170603,2017-06-03,2017,6,2,22,Saturday,true
20170124,2017-01-24,2017,1,1,4,Tuesday,false
20170423,2017-04-23,2017,4,2,16,Sunday,true
20170108,2017-01-08,2017,1,1,1,Sunday,true
20180607,2018-06-07,2018,6,2,23,Thursday,false
20170918,2017-09-18,2017,9,3,38,Monday,false
20180312,2018-03-12,2018,3,1,11,Monday,false
20170809,2017-08-09,2017,8,3,32,Wednesday,false
20170313,2017-03-13,2017,3,1,11,Monday,false
20180613,2018-06-13,2018,6,2,24,Wednesday,false
20170913,2017-09-13,2017,9,3,37,Wednesday,false
